rank,status,reason,name,website,primary_type,primary_type_raw,business_status,rating,user_rating_count,rental_signal,matched_activities,matched_terms,matched_tiers,matched_modes,geo_zone,aoi_distance_m,review_lane,dedup_note,site_note,site_relevance,possible_duplicate_of,place_id,source_url
1,needs_review,gate4:verified-slug:scheels,Scheels,https://www.scheels.com/store/reno-sparks/074?utm_source=google&utm_medium=yext,Sporting Goods Store,sporting_goods_store,OPERATIONAL,4.6,3537,true,alpine-ski; archery; backpacking; camping; climbing; cycling; disc-golf; fishing-gear; gear-shop; ice-skate; mtb; nordic-ski; pwc; snowboard; snowshoe,archery pro shop; archery range; backpacking gear rental; bike rental; bike shop; camping gear rental; climbing gear rental; cross country ski rental; disc golf rental; fishing bait and tackle shop; ice skate rental; jet ski rental; mountain bike rental; outdoor gear rental; ski rental; ski shop; snowboard rental; snowboard shop; snowshoe rental; sporting goods store,core; gap,standard,covered_tile,0,duplicate,"Slug was previously verified, but location/domain did not corroborate a same-operator duplicate.",,,,ChIJHefXBOs-mYARYT-GUi8dUKU,https://maps.google.com/?cid=11912053103480160097&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
2,needs_review,gate4:sweep_possible_duplicate,Lake Tahoe Cruises / MS Dixie II,https://www.zephyrcove.com/lake-tahoe-cruises/cruise-experience?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing,Tour Agency,tour_agency,OPERATIONAL,4.4,995,true,powerboat,boat charter,core,standard,covered_tile,0,duplicate,possible_duplicate_of:ChIJq6qqnhebmYARgppW84gBCww,,,ChIJq6qqnhebmYARgppW84gBCww,ChIJCcWhKwmQmYARTKh8RnD8ccA,https://maps.google.com/?cid=13867142286799579212&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
3,needs_review,gate4:sweep_possible_duplicate,Sportsman's Warehouse,https://stores.sportsmans.com/sportsmans-warehouse/us/nv/carson-city/1443-s-carson-st?utm_source=google&utm_medium=organic&utm_campaign=GMB&y_source=1_OTg4MDE1Mi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,Sporting Goods Store,sporting_goods_store,OPERATIONAL,4.3,773,true,alpine-ski; archery; fishing-gear; gear-shop; snowboard,archery pro shop; archery range; fishing bait and tackle shop; ski shop; snowboard shop; sporting goods store,core; gap,standard,covered_tile,0,duplicate,possible_duplicate_of:ChIJswimCXhAmYARbcHxHEi_zZc,,,ChIJswimCXhAmYARbcHxHEi_zZc,ChIJZ5_s3QygmYARF1o4clHxktQ,https://maps.google.com/?cid=15317570614751418903&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
4,needs_review,gate4:sweep_possible_duplicate,Big 5 Sporting Goods,http://www.big5sportinggoods.com/,Sporting Goods Store,sporting_goods_store,OPERATIONAL,4.2,548,true,cycling; fishing-gear; gear-shop; snowboard,bike shop; fishing bait and tackle shop; snowboard shop; sporting goods store,core; gap,standard,covered_tile,0,duplicate,possible_duplicate_of:ChIJVQaY73VAmYARn0kEp4dptlI,,,ChIJVQaY73VAmYARn0kEp4dptlI,ChIJ4dlT8rmPmYARcM6hZlrohTM,https://maps.google.com/?cid=3712628942803422832&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
5,needs_review,gate4:sweep_possible_duplicate,Big 5 Sporting Goods,http://www.big5sportinggoods.com/,Sporting Goods Store,sporting_goods_store,OPERATIONAL,4.2,539,true,alpine-ski; cycling; gear-shop; snowboard,bike shop; ski shop; snowboard shop; sporting goods store,core,standard,covered_tile,0,duplicate,possible_duplicate_of:ChIJVQaY73VAmYARn0kEp4dptlI,,,ChIJVQaY73VAmYARn0kEp4dptlI,ChIJRQ2OgNA-mYARvKDgeYqlR6c,https://maps.google.com/?cid=12053784941849256124&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
6,needs_review,gate4:verified-slug:rei,REI,https://www.rei.com/stores/reno?y_source=1_MTQ1MzQxOC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,Store,store,OPERATIONAL,4.3,458,true,alpine-ski; backcountry-ski; backpacking; camping; canoe; climbing; cycling; gear-shop; ice-climb; kayak; mtb; nordic-ski; snow-tube; snowboard; snowshoe; sup; windsurf,backcountry ski rental; backpacking gear rental; bike rental; bike shop; camping gear rental; canoe rental; climbing gear rental; cross country ski rental; kayak rental; mountain bike rental; mountaineering gear rental; outdoor equipment rental; outdoor gear rental; paddleboard rental; ski rental; ski shop; sled rental; snowboard rental; snowboard shop; snowshoe rental; sporting goods store; windsurfing rental,core; experience,standard,covered_tile,0,duplicate,"Slug was previously verified, but location/domain did not corroborate a same-operator duplicate.",,,,ChIJyTEMtn0_mYARwkrufB2t4Fc,https://maps.google.com/?cid=6332251418244565698&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
7,needs_review,gate4:sweep_possible_duplicate,C-A-L Ranch Stores,https://www.calranch.com/about/store-locations/reno,Food Store,food_store,OPERATIONAL,4.3,369,true,fishing-gear; gear-shop,fishing bait and tackle shop; sporting goods store,core; gap,standard,covered_tile,0,duplicate,possible_duplicate_of:ChIJTzn0DcAKmYARxoee15mGbs0,,,ChIJTzn0DcAKmYARxoee15mGbs0,ChIJif-J2w8_mYAR3sySJaP30sI,https://maps.google.com/?cid=14038555268549364958&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
8,needs_review,gate4:verified-slug:lake-tahoe-snowmobile-tours-inc,"Lake Tahoe Snowmobile Tours, Inc.",https://laketahoesnowmobile.com/,Tour Agency,tour_agency,OPERATIONAL,4.8,311,true,snow-tube; snowmobile,sled rental; snowmobile rental,core; experience,standard,covered_tile,0,duplicate,"Slug was previously verified, but location/domain did not corroborate a same-operator duplicate.",,,,ChIJK_S0ZKNjmYARflMVD1YFGjY,https://maps.google.com/?cid=3898434294620967806&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
9,needs_review,gate4:sweep_possible_duplicate,Big 5 Sporting Goods,http://www.big5sportinggoods.com/,Sporting Goods Store,sporting_goods_store,OPERATIONAL,4.2,297,true,alpine-ski; cycling; gear-shop; snowboard,bike shop; ski shop; snowboard rental; snowboard shop; sporting goods store,core,standard,covered_tile,0,duplicate,possible_duplicate_of:ChIJVQaY73VAmYARn0kEp4dptlI,,,ChIJVQaY73VAmYARn0kEp4dptlI,ChIJGQAqJTegmYAR8nyAN4saCSM,https://maps.google.com/?cid=2524578251351817458&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
10,needs_review,gate4:verified-slug:gear-hut,Gear Hut,http://www.gearhutreno.com/,Store,store,OPERATIONAL,4.9,229,true,alpine-ski; backcountry-ski; backpacking; camping; climbing; cycling; gear-shop; ice-climb; mtb; snowboard; snowshoe,backcountry ski rental; backpacking gear rental; bike shop; camping gear rental; climbing gear rental; mountain bike rental; mountaineering gear rental; outdoor equipment rental; outdoor gear rental; ski rental; ski shop; snowboard rental; snowboard shop; snowshoe rental; sporting goods store,core,standard,covered_tile,0,duplicate,"Slug was previously verified, but location/domain did not corroborate a same-operator duplicate.",,,,ChIJOZet7oxBmYARFkEseucIW5Q,https://maps.google.com/?cid=10690147930774192406&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
