rank,status,reason,manual_review_label,pre_manual_review_reason,name,website,primary_type,primary_type_raw,business_status,rating,user_rating_count,rental_signal,matched_activities,matched_terms,matched_tiers,matched_modes,geo_zone,aoi_distance_m,review_lane,dedup_note,site_note,site_relevance,possible_duplicate_of,place_id,source_url
1,survivor,cleared_gates_0-5,,,Worldwide Cyclery,https://www.worldwidecyclery.com/,Bicycle Shop,bicycle_store,OPERATIONAL,4.9,1738,true,cycling; gear-shop; mtb,bike rental; bike shop; mountain bike rental; sporting goods store,core,standard,covered_tile,0,operator,,Live HTTPS site (200). First-party check: operator name appears on the page.,operator_name_match,,ChIJwSwnjo03mYARYgUbPLXhQS0,https://maps.google.com/?cid=3261135773706683746&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
2,survivor,cleared_gates_0-5,,,Tahoe Sport Fishing,http://tahoesportfishing.com/,Fishing Charter,fishing_charter,OPERATIONAL,4.9,1584,true,fishing-charter; powerboat,boat charter; fishing charter,core; gap,standard,covered_tile,0,operator,,Live HTTPS site (200). First-party check: operator name appears on the page.,operator_name_match,,ChIJ97RGLQmQmYARjIJ3oik8M94,https://maps.google.com/?cid=16011207249749312140&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
3,survivor,cleared_gates_0-5,,,Tahoe Bliss Boat Charters,https://tahoeblissboatcharters.com/,Tour Agency,tour_agency,OPERATIONAL,5,141,true,canoe; pontoon; powerboat,boat rental; canoe rental; pontoon rental,core,service-area,service_area_unknown_location,,operator,,Live HTTPS site (200). First-party check: operator name appears on the page.,operator_name_match,,ChIJAUbDPrZ9mYARboTc4ZxoE8o,https://maps.google.com/?cid=14561097043232457838&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
4,survivor,cleared_gates_0-5,,,Roller Kingdom,https://www.rollerkingdom.org/,Sports Complex,sports_complex,OPERATIONAL,4.3,1259,true,ice-skate,ice skate rental,core,standard,covered_tile,0,operator,,Live HTTPS site (200). First-party check: operator name appears on the page.,operator_name_match,,ChIJCcts2khHmYARV1RFZyD6QGY,https://maps.google.com/?cid=7368164007456625751&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
5,survivor,cleared_gates_0-5,,,Donner Ski Ranch,http://www.donnerskiranch.com/,Ski Resort,ski_resort,OPERATIONAL,4.4,1047,true,alpine-ski; snow-tube,ski rental; ski shop; snow tube rental,core; experience,standard,covered_tile,0,operator,,Live HTTPS site (200). First-party check: operator name appears on the page.,operator_name_match,,ChIJm8gDU2jom4AReI3ERfRBTQ8,https://maps.google.com/?cid=1102610001173974392&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
6,survivor,cleared_gates_0-5,,,Homewood Mountain Resort,http://www.skihomewood.com/,Ski Resort,ski_resort,OPERATIONAL,4.4,1042,true,alpine-ski; snowboard,ski shop; snowboard rental,core,standard,covered_tile,0,operator,,Live HTTPS site (200). First-party check: operator name appears on the page.,operator_name_match,,ChIJXwBiR9p_mYARjQbBoGrEsHM,https://maps.google.com/?cid=8336378872505370253&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
7,survivor,cleared_gates_0-5,,,The Tahoe Experience,http://thetahoeexperience.com/,Tour Agency,tour_agency,OPERATIONAL,5,100,true,powerboat,boat rental,core,service-area,service_area_unknown_location,,operator,,Live HTTPS site (200). First-party check: operator name appears on the page.,operator_name_match,,ChIJG1pSOoE7WaIR4hsZXbN-jQY,https://maps.google.com/?cid=472172844769942498&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
8,survivor,cleared_gates_0-5,,,"All Around Tahoe - Paddleboards, Kayaks, Bikes rental & more!",http://allaroundtahoe.com/,Services,service,OPERATIONAL,5,93,true,canoe; cycling; kayak; mtb; sup; watersports,bike rental; canoe rental; kayak rental; mountain bike rental; paddleboard rental; watersports rental,core,service-area,service_area_unknown_location,,operator,,Live HTTPS site (200). First-party check: operator name appears on the page.,operator_name_match,,ChIJvdVfnIBxmYARVBhRpbkSIXU,https://maps.google.com/?cid=8440047765220825172&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
9,survivor,cleared_gates_0-5,,,C-A-L Ranch Stores,https://www.calranch.com/about/store-locations/carson-city,Food Store,food_store,OPERATIONAL,4.4,936,true,fishing-gear; gear-shop,fishing bait and tackle shop; sporting goods store,core; gap,standard,covered_tile,0,operator,,Live HTTPS site (200). First-party check: the registrable domain corresponds to the operator name.,domain_matches_operator_name,,ChIJTzn0DcAKmYARxoee15mGbs0,https://maps.google.com/?cid=14802917020519008198&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
10,survivor,cleared_gates_0-5,,,Round Hill Pines Beach Resort,http://roundhillpinesresort.com/,Marina,marina,OPERATIONAL,4.6,899,true,pwc,jet ski rental,core,standard,covered_tile,0,operator,,Live HTTPS site (200). First-party check: operator name appears on the page.,operator_name_match,,ChIJFXdv_-CamYARFr_F-9yo_ZY,https://maps.google.com/?cid=10880037941867298582&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
